"#감성타코 (건대)
_
??총평??
또띠아나 소스가 떨어지면
직원분들이 센스있게 돌아다니시면서
채워주시니 너무 편하고 좋았어요.
인테리어가 웅장하고 좌석이 많아
단체로 와도 좋을 것 같고
중앙에 톱니바퀴같이 생긴것은
마치 닥터 스트레인지에서
“도르마무 거래를 하러 왔다!”라는
대사를 생각나게 하는 소품이였어요.
_
??감성 그릴드 파히타 38,000원
푸짐한 한상 일단 보고 가실게요.
그릴드 스테이크, 칠리새우, 스파이시포크,
까르니따스로 구성이 되어있어요.
3천원만 추가하면 과콰몰리가 나오는데요,
멕시코 음식이나 싸먹는 음식에
정말 잘 어울려서 꼭 시켜먹는 편이에요.
샤워크림도 너무 맛있고 느끼하다 싶을땐
할라피뇨도 넣어서 먹었어요.
제일 좋아하는 조합은 샤워크림,과콰몰리,
파인애플살사,할라피뇨를 또띠아 위에 살포시
올려주고 고기3종류와 새우까지 넣는거에요.
맞아요..그냥 다 떄려넣고 입안 가득 먹는걸
제일 제일 제일 좋아해요..
_
??오렌지모히또 9,000원
논 알콜은 9천원 알콜은 1.1만원
운전을 하고 와서 논 알콜을 주문했는데요,
생각보다 다른 손님들은 낮술을 좋아하시는지
맥주를 마시는데..순간 맥주 시킬까하다..
참았어요.. 인테리어도 넓고 바 테이블에서
맥주 마시는걸 보니 외국에 온 것 같았어요.
상큼한 오렌지와 탄산이 잘 어울러져
살짝 음식이 물릴것같다 싶을때 마시면
다시 힘내서 맛있게 먹을 수 있어요.
_
#제이쿠푸디_감성타코
#제이쿠푸디_맛집_건대
#제이쿠푸디_멕시코
#감성타코건대점#건대#건대맛집
#타코맛집#파히타#멕시코음식#멕시코",1
"#협찬 #감성타코
??감성그릴드파히타
??자메이카치킨퀘사디아

멕시칸 요리 다들 조아하시나요,,??
저는 진짜 좋아하다 못해 사랑하는데요♥?
타코 퀘사디아 파히타 등등 다 넘 죠아해서
여러군데 다녀봤지만 감성타코가 짱!!!
양도 많고 구성도 좋고 가격도 착한편이라
갈때마다 만족하고 오는거같아용 ㅎㅁㅎ
파히타에 퀘사디아에 맥주까지 챱챱 먹으면
그냥 저세상 행복 아니냐고요,,,??
그리고 감성타코는 중간중간 소스랑
또띠아 할라피뇨 등등을 계속 리필해주셔서
진짜루 눈치 안보고 배 터지게 먹을 수 있어용??
원래 가면 파히타까지만 먹는데 이번에는
퀘사디아까지 먹었더니 더 행복,,??
멕시칸 요리 조아하는 분들은 감성타코 꼭 가보세요??
분위기도 죠아서 데이트 장소로 짱??

@gamsungtaco_konkuk
@gamsungtaco

#건대감성타코 #감성타코건대점 #건대밥집 #건대맛집 #건대역맛집 #타코맛집 #건대가볼만한곳 #타코 #파히타 #퀘사디아 #멕시칸음식 #건대술집 #건대입구맛집 #먹팔 #먹팔환영 #좋반 #좋반환영 #liketime #liker #불금",1
"#협찬 푸짐한 타코 한쌈먹기??

제가 먹은 메뉴는
새우, 스테이크, 스파이시포크 등
푸짐한 재료로 나오는 #감성그릴드파히타?

소스와 또띠아가 #무한리필 로
배터지게 잘 먹었더니
오늘 아주 꿀잠잘거같아요??

?타코맛집 @gamsungtaco

#감성타코 #감성타코건대점 #건대밥집 #건대맛집 #건대역맛집 #타코맛집 #건대데이트 #저녁냠냠",1
"#협찬
워낙 유명한 감성타코 저도 드뎌 방문!
먹자마자 왜 유명한지 알게된 맛??

제가 방문한 건대점은 엄청 넓고
분위기도 짱좋아서 커플이나 친구랑
오기 딱 좋네용 ????",1
